ID;User_ID;Table_rank_2024_05;Person;net_worth_inBillionUSD_2024_05;Age_of_person_2024_05;Date
276;183;276;Tanya Saade Zeenny;8,9;56;2024-05-31
277;181;276;Jacques Saade Jr;8,9;52;2024-05-31
278;182;276;Rodolphe Saade;8,9;54;2024-05-31
279;252;279;Thierry Dassault;8,9;67;2024-05-31
280;254;279;Marie-Helene Habert-Dassault;8,9;59;2024-05-31
281;251;279;Laurent Dassault;8,9;70;2024-05-31
282;189;282;Sun Piaoyang;8,8;65;2024-05-31
283;175;283;Quek Leng Chan;8,8;82;2024-05-31
284;359;284;Ken Fisher;8,7;73;2024-05-31
285;288;285;Joe Gebbia;8,7;42;2024-05-31
286;293;286;Zhong Huijuan;8,7;63;2024-05-31
287;231;287;Carlos Alberto Sicupira  ;8,7;76;2024-05-31
288;263;288;Orlando Bravo;8,7;53;2024-05-31
289;435;289;Josh Harris;8,7;59;2024-05-31
290;277;290;Jean-Michel Besnier;8,7;56;2024-05-31
291;278;290;Marie Besnier Beauvalot;8,7;43;2024-05-31
292;326;292;Marc Benioff;8,7;59;2024-05-31
293;455;293;Robert Rowling;8,7;70;2024-05-31
294;292;294;Joseph Tsai;8,6;60;2024-05-31
295;338;295;Alejandro Bailleres Gual;8,6;63;2024-05-31
296;245;296;German Khan;8,6;62;2024-05-31
297;348;297;Denise Coates;8,6;56;2024-05-31
298;444;298;Helmut Sohmen;8,6;84;2024-05-31
299;315;299;Richard Kinder;8,5;79;2024-05-31
300;780;300;Jaime Gilinski Bacal;8,5;66;2024-05-31
301;262;301;Eric Wittouck;8,5;77;2024-05-31
302;452;302;Ken Langone;8,5;88;2024-05-31
303;465;303;Piero Ferrari;8,4;79;2024-05-31
304;414;304;Wolfgang Herz;8,4;73;2024-05-31
305;413;304;Michael Herz;8,4;80;2024-05-31
306;268;306;David Shaw;8,3;73;2024-05-31
307;303;307;Steven Rales;8,3;73;2024-05-31
308;307;308;Iskander Makhmudov;8,3;60;2024-05-31
309;300;309;Sri Prakash Lohia;8,3;71;2024-05-31
310;687;310;Elisabeth DeLuca  ;8,2;76;2024-05-31
311;451;311;Vikram Lal  ;8,2;82;2024-05-31
312;477;312;Richard White;8,2;69;2024-05-31
313;244;313;Francis Choi;8,2;76;2024-05-31
314;284;314;Ivar Tollefsen;8,2;62;2024-05-31
315;3154;315;Agoes Projosasmito;8,2;68;2024-05-31
316;291;316;Leonard Stern;8,1;86;2024-05-31
317;3012;317;Paul Tudor Jones II.;8,1;69;2024-05-31
318;340;318;Pauline MacMillan Keinath;8,1;90;2024-05-31
319;279;319;David Geffen;8,1;81;2024-05-31
320;561;320;Jimmy Haslam;8;70;2024-05-31
321;407;321;Lin Muqin  ;8;60;2024-05-31
322;226;322;Michael Otto;8;81;2024-05-31
323;517;323;Rekha Jhunjhunwala;8;60;2024-05-31
324;294;324;Arthur Blank;7,9;81;2024-05-31
325;375;325;Xu Shihui;7,9;66;2024-05-31
326;398;326;Anthony Bamford  ;7,9;78;2024-05-31
327;345;327;Ronda Stryker;7,9;70;2024-05-31
328;494;328;Douglas Leone;7,9;66;2024-05-31
329;503;329;M.A. Yusuff Ali;7,9;68;2024-05-31
330;140;330;Jiang Rensheng  ;7,9;70;2024-05-31
331;459;331;Micky Arison;7,9;74;2024-05-31
332;390;332;Carl Bennet;7,9;72;2024-05-31
333;261;333;Pavel Tykac;7,9;60;2024-05-31
334;323;334;Frederik Paulsen;7,8;73;2024-05-31
335;316;335;Guillaume Pousaz;7,8;42;2024-05-31
336;364;336;Massimiliana Landini Aleotti  ;7,8;81;2024-05-31
337;380;337;Bruce Kovner;7,7;79;2024-05-31
338;329;338;Jack Dangermond;7,7;78;2024-05-31
339;332;339;Law Kar Po;7,7;75;2024-05-31
340;343;340;Igor Olenicoff;7,7;81;2024-05-31
341;286;341;Hasmukh Chudgar  ;7,7;90;2024-05-31
342;358;342;Randa Duncan Williams;7,7;62;2024-05-31
343;346;343;Dannine Avara;7,7;60;2024-05-31
344;349;344;Scott Duncan;7,7;41;2024-05-31
345;350;344;Milane Frantz;7,7;54;2024-05-31
346;3014;346;Edward Roski Jr;7,7;85;2024-05-31
347;319;347;Judy Faulkner;7,6;80;2024-05-31
348;295;348;Charles Butt;7,6;86;2024-05-31
349;428;349;David Steward;7,6;72;2024-05-31
350;421;350;Alain Bouchard;7,6;75;2024-05-31
351;423;351;Gopikishan Damani;7,6;66;2024-05-31
352;271;352;Rocco Commisso;7,5;74;2024-05-31
353;110;353;Robert Pera;7,5;46;2024-05-31
354;442;354;Fredrik Lundberg;7,5;72;2024-05-31
355;356;355;Viktor Vekselberg;7,5;67;2024-05-31
356;313;356;Jeff Greene;7,5;69;2024-05-31
357;1238;357;Donald Trump;7,5;77;2024-05-31
358;148;358;Liu Hanyuan;7,5;60;2024-05-31
359;104;359;Pang Kang;7,5;68;2024-05-31
360;357;360;Wang Laisheng;7,4;59;2024-05-31
361;218;361;Tatyana Bakalchuk;7,4;48;2024-05-31
362;565;362;Vinod Khosla;7,4;69;2024-05-31
363;706;363;Juergen Blickle;7,4;77;2024-05-31
364;314;364;Don Hankey;7,4;80;2024-05-31
365;513;365;Charles Simonyi;7,4;75;2024-05-31
366;396;366;Luis Carlos Sarmiento;7,4;91;2024-05-31
367;439;367;John Brown;7,3;89;2024-05-31
368;382;368;Nadia Thiele;7,3;48;2024-05-31
369;354;369;John Overdeck;7,3;54;2024-05-31
370;355;369;David Siegel;7,3;62;2024-05-31
371;544;371;Murali Divi  ;7,3;73;2024-05-31
372;417;372;Zhou Qunfei;7,3;;2024-05-31
373;225;373;Chen Jianhua;7,3;53;2024-05-31
374;1139;374;Zhu Yi;7,3;60;2024-05-31
375;301;375;Ma Jianrong;7,3;60;2024-05-31
376;511;376;Robert Rich Jr;7,2;83;2024-05-31
377;310;377;Wang Laichun;7,2;56;2024-05-31
378;449;378;Ray Lee Hunt;7,2;81;2024-05-31
379;2012;379;Torstein Hagen;7,2;81;2024-05-31
380;215;380;Finn Rausing;7,2;69;2024-05-31
381;283;381;Reinhold Schmieding;7,2;69;2024-05-31
382;217;382;Kirsten Rausing;7,2;71;2024-05-31
383;216;382;Jorn Rausing;7,2;64;2024-05-31
384;734;384;Rahul Bhatia;7,2;64;2024-05-31
385;432;385;Andreas Halvorsen;7,2;63;2024-05-31
386;548;386;Jonathan Gray;7,2;54;2024-05-31
387;462;387;John Collison;7,2;33;2024-05-31
388;463;387;Patrick Collison;7,2;35;2024-05-31
389;367;389;Magdalena Martullo-Blocher;7,1;55;2024-05-31
390;376;390;Rahel Blocher;7,1;48;2024-05-31
391;125;391;Chen Bang;7,1;58;2024-05-31
392;397;392;Dennis Washington;7,1;89;2024-05-31
393;546;393;Marcos Galperin;7,1;;2024-05-31
394;289;394;Philip Ng;7,1;65;2024-05-31
395;223;395;Pei Zhenhua;7,1;65;2024-05-31
396;320;396;Johann Graf;7;77;2024-05-31
397;311;397;Arthur Dantchik;7;66;2024-05-31
398;473;398;Jean Salata;7;58;2024-05-31
399;391;399;Stephen Bisciotti;7;64;2024-05-31
400;728;400;Mark Stevens;7;64;2024-05-31
401;339;401;Edythe Broad  ;7;88;2024-05-31
402;719;402;Fernando Roberto Moreira Salles;7;78;2024-05-31
