User_ID;Table_rank_2022;Name;net_worth_in_BillionUSD_2022;Age_of_person_2022
778;490;Shigenobu Nagamori;5,40;77
528;490;Kjell Inge Rokke;5,40;63
657;490;Wang Wenjing;5,40;57
2710;490;Chris Xu;5,40;38
622;490;Samuel Yin;5,40;71
510;490;M.A. Yusuff Ali;5,40;66
354;509;Denise Coates;5,30;54
365;509;Ken Fisher;5,30;71
629;509;Peter Grogg;5,30;80
612;509;Dietmar Hopp and family;5,30;81
431;509;Sumet Jiaravanon;5,30;87
392;509;Nathan Kirsh;5,30;90
600;509;Forrest Li;5,30;44
560;509;Rudolf Maag;5,30;76
506;509;Gary Rollins;5,30;77
546;509;Ugur Sahin;5,30;56
519;509;Mark Scheinberg;5,30;48
938;509;Shen Guojun;5,30;59
550;509;Chip Wilson;5,30;65
304;509;Zhang Yong;5,30;51
467;523;James Chambers;5,20;64
2711;523;Chen Fashu;5,20;61
438;523;Jaran Chiaravanont;5,20;92
234;523;Ravi Jaipuria;5,20;67
706;523;Koon Poh Keong;5,20;60
925;523;Li Liangbin;5,20;54
926;523;Liang Feng;5,20;53
476;523;Wolfgang Marguerre and family;5,20;80
479;523;Katharine Rayner;5,20;77
1980;523;Carlos Rodriguez-Pastor;5,20;62
483;523;Margaretta Taylor;5,20;79
2712;523;You Xiaoping;5,20;64
876;523;Eric Yuan and family;5,20;52
535;536;Robert Bass;5,10;74
511;536;Alexandre Behring;5,10;55
661;536;Chan Laiwa and family;5,10;81
319;536;Jeff Greene;5,10;67
2713;536;Montri Jiaravanont;5,10;91
525;536;Charles B. Johnson;5,10;89
500;536;Elizabeth Johnson;5,10;58
669;536;Lin Bin;5,10;54
867;536;Hiroshi Mikitani;5,10;57
713;536;Isaac Perlmutter;5,10;79
491;536;Michael Pieper;5,10;76
605;536;Issad Rebrab and family;5,10;78
743;536;Tsai Hong-tu;5,10;69
654;536;Richard Tsai;5,10;64
656;536;Wang Junshi and family;5,10;73
786;536;Wang Yanqing and family;5,10;55
659;552;Shari Arison;5,00;64
428;552;Alain Bouchard;5,00;73
722;552;Austen Cargill II.;5,00;71
723;552;James Cargill II.;5,00;72
700;552;Ben Chestnut;5,00;47
2716;552;Wei Fang;5,00;48
262;552;Leonid Fedun;5,00;66
326;552;Johann Graf;5,00;75
2717;552;Huang Chulong;5,00;63
797;552;Huang Yi;5,00;60
596;552;Vladimir Kim;5,00;61
707;552;Dan Kurzius;5,00;50
598;552;Ronald Lauder;5,00;78
733;552;Marianne Liebmann;5,00;68
709;552;Tobi Lutke;5,00;41
503;552;Thomas Pritzker;5,00;71
844;552;Scott Shleifer;5,00;44
182;552;Autry Stephens;5,00;83
678;552;Peter Thiel;5,00;54
762;552;Tsai Cheng-ta;5,00;72
608;552;Maximilian Viessmann;5,00;64
532;552;Hansjoerg Wyss;5,00;87
847;552;Xiao Yongming and family;5,00;57
566;552;Zhang Tao;5,00;49
452;552;Daniel Ziff;5,00;50
453;552;Dirk Ziff;5,00;58
454;552;Robert Ziff;5,00;55
2718;579;Kapil and Rahul Bhatia;4,90;64
488;579;Mat Ishbia;4,90;42
518;579;Robert Rich Jr.;4,90;81
450;579;Thomas Schmidheiny;4,90;76
547;579;Alexandra Schoerghuber and family;4,90;63
1017;579;Erik Selin;4,90;54
653;579;Daniel Tsai;4,90;65
536;586;Dona Bertarelli;4,80;54
2721;586;Andrei Guriev and family;4,80;62
920;586;Luciano Hang;4,80;59
922;586;Hu Baifan;4,80;59
558;586;Bidzina Ivanishvili;4,80;66
2722;586;Yeow Chor and Yeow Seng Lee;4,80;64
834;586;Leng Youbin;4,80;53
615;586;Theo Mueller;4,80;82
2723;586;Julian Robertson  Jr.;4,80;89
618;586;Marc Rowan;4,80;59
561;586;Emanuele Saputo and family;4,80;85
674;586;Jeff Skoll;4,80;57
655;586;Frank Wang;4,80;41
2724;586;Wang Junlin;4,80;59
849;586;Yang Shaopeng;4,80;64
580;601;Maria Fernanda Amorim and family;4,70;87
789;601;Leonid Boguslavsky;4,70;70
858;601;Richard Branson;4,70;71
2725;601;Robert Brockman;4,70;80
468;601;Pierre Chen;4,70;65
2726;601;Chu Mang Yee and family;4,70;62
684;601;Scott Cook;4,70;69
592;601;Mark Cuban;4,70;63
729;601;Guenther Fielmann and family;4,70;82
538;601;Martin Haefner;4,70;68
641;601;Johnelle Hunt;4,70;90
597;601;Andre Koo  Sr.;4,70;54
457;601;Lai Meisong;4,70;51
601;601;Richard Li;4,70;55
631;601;Mangal Prabhat Lodha;4,70;66
349;601;Igor Olenicoff;4,70;79
562;601;Mark Shoen;4,70;71
274;601;Andrei Skoch and family;4,70;56
606;601;Fred Smith;4,70;77
549;601;Murat Ulker;4,70;63
579;601;Yu Yong;4,70;61
624;622;Stephane Bancel;4,60;49
384;622;Bubba Cathy;4,60;67
385;622;Dan Cathy;4,60;69
386;622;Trudy Cathy White;4,60;66
582;622;Jason Chang;4,60;77
554;622;Dagmar Dolby and family;4,60;80
1120;622;Bruce Flatt;4,60;56
2729;622;Masatoshi Ito;4,60;97
154;622;Viatcheslav Kantor;4,60;68
666;622;Min Kao and family;4,60;73
1008;622;Lin Xiucheng and family;4,60;66
527;622;Sami Mnaymneh;4,60;60
529;622;Tony Tamer;4,60;64
484;622;Richard White;4,60;67
2730;622;Baoguo Zhu and family;4,60;59
567;637;Michael Ashley;4,50;57
534;637;Ron Baron;4,50;78
591;637;Bert Beveridge;4,50;60
497;637;Todd Boehly;4,50;48
390;637;David Bonderman;4,50;79
2731;637;Guo Guangchang;4,50;55
643;637;Daryl Katz;4,50;60
2732;637;Ted Lerner and family;4,50;96
1200;637;Falguni Nayar;4,50;59
759;637;Trevor Rees-Jones;4,50;70
869;637;J. Joe Ricketts and family;4,50;80
462;637;Robert Rowling;4,50;68
742;637;Mark Stevens;4,50;62
1160;637;Gustav Magnar Witzoe;4,50;28
2733;637;Xie Liangzhi and family;4,50;56
1429;637;Yeung Kin-man;4,50;58
331;637;Zhang Hejun;4,50;64
679;654;Andrej Babis;4,40;67
728;654;Giuseppe De Longhi and family;4,40;82
750;654;Barry Diller;4,40;80
630;654;Christian Haub;4,40;57
770;654;Huang Li;4,40;58
642;654;Marian Ilitch;4,40;89
167;654;Suleiman Kerimov and family;4,40;56
802;654;Edwin Leong;4,40;70
1248;654;Lu Yiwen;4,40;35
616;654;N.R. Narayana Murthy;4,40;75
1309;654;Yang Jianliang and family;4,40;52
660;665;Pyotr Aven;4,30;67
1168;665;Joesley Batista;4,30;50
1169;665;Wesley Batista;4,30;49
625;665;Margot Birmingham Perot;4,30;88
498;665;Rick Caruso;4,30;63
627;665;Jim Davis;4,30;62
829;665;Walter P.J. Droege;4,30;69
473;665;Dan Friedkin;4,30;57
514;665;Gao Dekang and family;4,30;70
686;665;Antti Herlin;4,30;65
730;665;W. Herbert Hunt;4,30;93
773;665;Jason Jiang;4,30;49
664;665;Rupert Johnson  Jr.;4,30;81
458;665;Vikram Lal and family;4,30;80
1469;665;Lam Wai-ying;4,30;64
1392;665;Chris Larsen;4,30;61
784;665;Richard Schulze;4,30;81
481;665;Paul Singer;4,30;77
607;665;Barry Sternlicht;4,30;61
1096;665;Su Hua;4,30;40
507;665;Mark Walter;4,30;61
521;665;Ty Warner;4,30;77
445;687;Rinat Akhmetov;4,20;55
2738;687;Martin and Olivier Bouygues;4,20;64
569;687;Bernard Broermann;4,20;78
726;687;Mong-Koo Chung;4,20;84
822;687;Daniel DAniello;4,20;75
2739;687;Traudl Engelhorn and family;4,20;95
472;687;Piero Ferrari;4,20;76
585;687;Carlo Fidani;4,20;67
769;687;Yakir Gabay;4,20;55
794;687;Jaime Gilinski Bacal;4,20;64
960;687;Bertil Hult;4,20;81
