ID;User_ID;Rank_2024_01;Person;net_worth_in_BillionUSD_2024_01;Age_of_person_2024_01;
426;393;426;Annette Lerner and family;6,3;93;
427;389;427;Nadia Thiele;6,3;48;
428;422;428;Michael Kadoorie;6,3;82;
429;407;429;John Grayken;6,3;67;
430;684;430;Scott Cook;6,3;71;
431;511;431;Alexandre Behring;6,3;56;
432;553;432;Murali Divi and family;6,3;72;
433;298;433;Zhong Huijuan;6,3;63;
434;427;434;Neil Bluhm;6,3;86;
435;411;435;Maria Asuncion Aramburuzabala and family;6,3;60;
436;618;436;Marc Rowan;6,3;61;
437;410;437;Stef Wertheimer and family;6,3;97;
438;316;438;Wang Laichun;6,2;56;
439;448;439;Arthur Irving;6,2;94;
440;451;440;Helmut Sohmen;6,2;84;
441;390;441;David Bonderman;6,2;81;
442;678;442;Peter Thiel;6,2;56;
443;254;443;Wang Jianlin;6,2;69;
444;484;444;Richard White;6,2;68;
445;285;445;Robin Li;6,2;55;
446;432;446;Joe Lewis;6,2;86;
447;461;447;Karen Pritzker;6,2;66;
448;473;448;Dan Friedkin;6,2;58;
449;592;449;Mark Cuban;6,2;65;
450;453;450;Dirk Ziff;6,2;59;
451;452;450;Daniel Ziff;6,2;52;
452;454;452;Robert Ziff;6,2;57;
453;399;453;Stanley Druckenmiller;6,2;70;
454;392;454;Nathan Kirsh;6,1;92;
455;347;455;Philippe Laffont;6,1;56;
456;481;456;Paul Singer;6,1;79;
457;489;457;Leo Koguan;6,1;68;
458;581;458;Gayle Benson;6,1;77;
459;503;459;Thomas Pritzker;6,1;73;
460;497;460;Todd Boehly;6,1;50;
461;324;461;Zong Qinghou;6,0;78;
462;436;462;Les Wexner and family;6,0;86;
463;633;463;Joe Mansueto;6,0;67;
464;95;464;Carl Icahn;6,0;87;
465;230;465;Chen Jianhua;6,0;53;
466;3138;466;William Goldring and family;6,0;81;
467;568;467;Tomasz Biernacki;6,0;51;
468;742;468;Mark Stevens;6,0;63;
469;425;469;Alexander Abramov;6,0;64;
470;711;470;Rajan Mittal;5,9;64;
471;712;470;Rakesh Mittal;5,9;68;
472;521;472;Ty Warner;5,9;79;
473;507;473;Mark Walter;5,9;63;
474;543;474;Michel Leclercq and family;5,9;84;
475;443;475;Niels Peter Louis-Hansen;5,9;76;
476;413;476;Frits Goldschmeding;5,9;90;
477;439;477;Andreas Halvorsen;5,9;62;
478;586;478;Hong Ra-hee;5,8;78;
479;628;479;Rafael Del Pino;5,8;65;
480;513;480;Robert Faith;5,8;60;
481;560;481;Rudolf Maag;5,8;78;
482;565;482;Kelcy Warren;5,8;68;
483;328;483;Liang Wengen;5,8;67;
484;279;484;Qi Shi and family;5,8;54;
485;552;485;Jim Davis and family;5,8;80;
486;533;486;Denise York and family;5,8;73;
487;377;487;John A. Sobrato and family;5,7;84;
488;696;488;Kerry Stokes;5,7;83;
489;269;489;Ding Shizhong;5,7;53;
490;445;490;Rinat Akhmetov;5,7;57;
491;671;491;Michael Moritz;5,7;69;
492;447;492;Clive Calder;5,7;77;
493;1369;493;Brian Armstrong;5,7;41;
494;444;494;Patrick Soon-Shiong;5,7;71;
495;938;495;Shen Guojun;5,7;61;
496;239;496;Chase Coleman III;5,7;48;
497;1151;497;Jeff Rothschild;5,7;69;
498;548;498;Thomas Straumann;5,6;60;
499;1239;499;Bill Haslam;5,6;65;
500;1041;500;Donald Horton and family;5,6;73;
501;476;501;Wolfgang Marguerre and family;5,6;82;
502;545;502;Janice McNair;5,6;87;
503;455;503;Maria Angelicoussis;5,6;41;
504;474;504;James Irving;5,6;95;
505;556;505;Tom Golisano;5,6;82;
506;468;506;Pierre Chen;5,6;67;
507;504;507;Lynda Resnick;5,6;81;
508;505;507;Stewart Resnick;5,6;87;
509;181;509;Wu Yajun;5,6;60;
510;463;510;Teddy Sagi;5,6;52;
511;748;511;Rahul Bhatia;5,6;64;
512;487;512;Mahendra Choksi and family;5,6;82;
513;441;513;Tsai Eng-meng;5,5;67;
514;460;514;Li Ge;5,5;57;
515;794;515;Jaime Gilinski Bacal;5,5;66;
516;606;516;Fred Smith;5,5;79;
517;469;517;John Collison;5,5;33;
518;470;517;Patrick Collison;5,5;35;
519;753;519;Rakesh Gangwal;5,5;70;
520;928;520;Sudhir Mehta;5,5;69;
521;927;521;Samir Mehta;5,5;60;
522;85;522;Wang Wenyin;5,5;55;
523;301;523;Ding Shijia;5,5;60;
524;415;524;Ruan Liping;5,5;59;
525;228;525;Pei Zhenhua;5,4;65;
526;416;526;Ruan Xueping;5,4;52;
527;3140;527;Robert Hale Jr;5,4;57;
528;859;528;Cho Jung-ho;5,4;65;
529;509;529;Erich Wesjohann and family;5,4;78;
530;493;530;Wolfgang Reimann;5,4;71;
531;494;531;Matthias Reimann-Andersen;5,4;58;
532;496;531;Renate Reimann-Haas;5,4;72;
533;495;531;Stefan Reimann-Andersen;5,4;60;
534;810;534;Juan Roig;5,4;74;
535;538;535;Martin Haefner;5,4;70;
536;564;536;Chairul Tanjung;5,4;61;
537;689;537;Igor Kesaev;5,4;57;
538;604;538;Mark Meijer and family;5,4;66;
539;603;539;Hank Meijer and family;5,4;71;
540;602;540;Doug Meijer and family;5,4;70;
541;582;541;Jason Chang;5,4;79;
542;471;542;Archie Aldis Emmerson and family;5,4;94;
543;575;543;Thai Lee;5,3;65;
544;498;544;Rick Caruso;5,3;65;
545;534;545;Ron Baron;5,3;80;
546;431;546;Sumet Jiaravanon;5,3;89;
547;424;547;Zhou Qunfei;5,3;;
548;652;548;Jon Stryker;5,3;65;
549;580;549;Maria Fernanda Amorim and family;5,3;89;
550;535;550;Robert Bass;5,3;75;
551;670;551;Lin Li;5,3;60;
552;519;552;Mark Scheinberg;5,2;50;
553;707;553;Dan Kurzius;5,2;52;
554;525;554;Charles B. Johnson;5,2;91;
555;623;555;You Xiaoping and family;5,2;66;
556;547;556;Alexandra Schoerghuber and family;5,2;65;
557;549;557;Murat Ulker;5,2;64;
558;544;558;George Lucas;5,2;79;
559;438;559;Jaran Chiaravanont;5,2;93;
560;887;560;Peter Gilgan;5,2;73;
561;567;561;Michael Ashley;5,2;59;
562;704;562;John Henry;5,1;74;
563;531;563;Romesh T. Wadhwani;5,1;76;
564;614;564;Joseph Liemandt;5,1;55;
565;527;565;Sami Mnaymneh;5,1;62;
566;529;565;Tony Tamer;5,1;66;
567;536;567;Dona Bertarelli;5,1;56;
568;290;568;Cao Renxian;5,1;55;
569;787;569;Rajiv Bajaj;5,1;57;
570;788;569;Sanjiv Bajaj;5,1;54;
571;789;571;Leonid Boguslavsky;5,0;72;
572;554;572;Dagmar Dolby and family;5,0;82;
573;526;573;Kwon Hyuk-bin;5,0;50;
574;765;574;Richard Uihlein;5,0;78;
575;764;574;Elizabeth Uihlein;5,0;78;
576;1049;576;Martin Lorentzon;5,0;54;
577;641;577;Johnelle Hunt;5,0;92;
578;562;578;Mark Shoen;5,0;73;
579;821;579;Giuseppe Crippa and family;5,0;88;
580;508;580;Ronald Wanek;5,0;82;
581;558;581;Bidzina Ivanishvili;4,9;67;
582;578;582;Horst Julius Pudwill;4,9;79;
583;658;583;Herbert Wertheim;4,9;84;
584;573;584;Helen Johnson-Leipold;4,9;67;
585;588;585;Thomas Secunda;4,9;69;
586;700;586;Ben Chestnut;4,9;49;
587;758;587;Chandru Raheja;4,9;83;
588;782;588;John Sall;4,9;75;
589;593;589;Charles Dolan and family;4,9;97;
590;576;590;Winifred J. Marquart;4,9;64;
591;571;591;H. Fisk Johnson;4,9;65;
592;572;592;S. Curtis Johnson;4,9;68;
593;693;593;Arturo Moreno;4,9;77;
594;759;594;Trevor Rees-Jones;4,9;72;
595;625;595;Margot Birmingham Perot;4,9;90;
596;666;596;Min Kao and family;4,8;75;
597;616;597;N.R. Narayana Murthy;4,8;77;
598;843;598;Vivek Chaand Sehgal;4,8;67;
599;734;599;Jorge Moll Filho and family;4,8;79;
600;541;600;Kim Beom-su;4,8;57;
601;609;601;Russ Weiner;4,8;53;
602;716;602;Steven Spielberg;4,8;77;
603;491;603;Michael Pieper;4,8;77;
604;585;604;Carlo Fidani;4,8;69;
605;617;605;Odd Reitan and family;4,8;72;
606;486;606;Patrizio Bertelli;4,8;78;
607;492;607;Miuccia Prada;4,8;74;
608;661;608;Chan Laiwa and family;4,8;83;
