ID;User_ID;Table_rank_2024_03;Person;net_worth_in_BillionUSD_2024_03;Age_of_person_2024_03;Date_of_data
373;217;373;Kirsten Rausing;7,2;71;2024-03-30
374;432;374;Andreas Halvorsen;7,2;62;2024-03-30
375;462;375;John Collison;7,2;33;2024-03-30
376;463;376;Patrick Collison;7,2;35;2024-03-30
377;225;377;Chen Jianhua;7,1;53;2024-03-30
378;720;378;Pedro Moreira Salles;7,1;64;2024-03-30
379;385;379;Nathan Kirsh;7,1;92;2024-03-30
380;565;380;Vinod Khosla;7,1;69;2024-03-30
381;402;381;Wang Yusuo;7,1;60;2024-03-30
382;3014;382;Edward Roski Jr;7,1;85;2024-03-30
383;664;383;Peter Thiel;7,1;56;2024-03-30
384;289;384;Philip Ng;7,1;65;2024-03-30
385;306;385;Benu Gopal Bangur;7,1;92;2024-03-30
386;357;386;Wang Laisheng;7,1;59;2024-03-30
387;356;387;Viktor Vekselberg;7,1;66;2024-03-30
388;451;388;Vikram Lal;7;82;2024-03-30
389;443;389;Thomas Schmidheiny;7;78;2024-03-30
390;742;390;Li Xiang;7;42;2024-03-30
391;397;391;Dennis Washington;7;89;2024-03-30
392;407;392;Lin Muqin;7;60;2024-03-30
393;320;393;Johann Graf;7;77;2024-03-30
394;301;394;Ma Jianrong;7;60;2024-03-30
395;311;395;Arthur Dantchik;7;66;2024-03-30
396;302;396;Robert Ng;7;72;2024-03-30
397;695;397;Tobi Lutke;7;43;2024-03-30
398;242;398;Stefano Pessina;7;82;2024-03-30
399;436;399;Niels Peter Louis-Hansen;7;76;2024-03-30
400;339;400;Edythe Broad;7;88;2024-03-30
401;400;401;John Grayken;6,9;67;2024-03-30
402;411;402;Mike Adenuga;6,9;70;2024-03-30
403;531;403;Viktor Kharitonin;6,9;51;2024-03-30
404;310;404;Wang Laichun;6,9;56;2024-03-30
405;223;405;Pei Zhenhua;6,8;65;2024-03-30
406;369;406;Terrence Pegula;6,8;73;2024-03-30
407;410;407;Michal Solowow;6,8;61;2024-03-30
408;264;408;Ding Shizhong;6,8;53;2024-03-30
409;575;409;Andre Esteves;6,8;55;2024-03-30
410;496;410;Thomas Pritzker;6,8;73;2024-03-30
411;582;411;Bert Beveridge;6,8;62;2024-03-30
412;367;412;Magdalena Martullo-Blocher;6,8;55;2024-03-30
413;1238;413;Donald Trump;6,8;77;2024-03-30
414;376;414;Rahel Blocher;6,8;48;2024-03-30
415;214;415;Wang Liping;6,7;58;2024-03-30
416;269;416;Andrei Skoch;6,7;58;2024-03-30
417;371;417;George Soros;6,7;93;2024-03-30
418;661;418;Lynsi Snyder;6,7;41;2024-03-30
419;394;419;Alexei Kuzmichev;6,6;61;2024-03-30
420;401;420;Alain Merieux;6,6;86;2024-03-30
421;417;421;Zhou Qunfei;6,6;;2024-03-30
422;609;422;Marc Rowan;6,6;61;2024-03-30
423;389;423;Radovan Vitek;6,6;53;2024-03-30
424;285;424;Cao Renxian;6,5;55;2024-03-30
425;728;425;Mark Stevens;6,5;64;2024-03-30
426;296;426;Ding Shijia;6,5;60;2024-03-30
427;573;427;Jason Chang;6,5;79;2024-03-30
428;427;428;Michael Milken;6,5;77;2024-03-30
429;621;429;Joe Mansueto;6,5;67;2024-03-30
430;499;430;Gary Rollins;6,5;79;2024-03-30
431;222;431;Pierre Omidyar;6,5;56;2024-03-30
432;426;432;Frank Lowy;6,5;93;2024-03-30
433;597;433;Fred Smith;6,5;79;2024-03-30
434;176;434;Wu Yajun;6,4;60;2024-03-30
435;418;435;Alexander Abramov;6,4;65;2024-03-30
436;249;436;Wang Jianlin;6,4;69;2024-03-30
437;363;437;Thomas Kirk Kristiansen;6,4;45;2024-03-30
438;362;438;Sofie Kirk Kristiansen;6,4;48;2024-03-30
439;373;439;Agnete Kirk Thinggaard;6,4;40;2024-03-30
440;670;440;Scott Cook;6,4;71;2024-03-30
441;456;441;Teddy Sagi;6,4;52;2024-03-30
442;420;442;Neil Bluhm;6,4;86;2024-03-30
443;448;443;Maria Angelicoussis;6,4;42;2024-03-30
444;386;444;Annette Lerner;6,4;94;2024-03-30
445;785;445;Vyacheslav Kim;6,4;54;2024-03-30
446;682;446;Kerry Stokes;6,4;83;2024-03-30
447;466;447;Dan Friedkin;6,4;59;2024-03-30
448;599;448;Maximilian Viessmann;6,4;35;2024-03-30
449;395;449;Dmitry Rybolovlev;6,4;57;2024-03-30
450;1157;450;Eric Douglas;6,4;55;2024-03-30
451;504;451;Alexandre Behring;6,4;57;2024-03-30
452;383;452;David Bonderman;6,3;81;2024-03-30
453;280;453;Robin Li;6,3;55;2024-03-30
454;1156;454;Carl Douglas;6,3;62;2024-03-30
455;469;455;Wolfgang Marguerre;6,3;82;2024-03-30
456;246;456;Abdulsamad Rabiu;6,3;63;2024-03-30
457;415;457;Michael Kadoorie;6,3;82;2024-03-30
458;110;458;Robert Pera;6,3;46;2024-03-30
459;441;459;Arthur Irving;6,3;94;2024-03-30
460;337;460;Don Vultaggio;6,3;72;2024-03-30
461;1020;461;Donald Horton;6,3;74;2024-03-30
462;403;462;Stef Wertheimer;6,3;97;2024-03-30
463;444;463;Helmut Sohmen;6,3;84;2024-03-30
464;546;464;Marcos Galperin;6,3;;2024-03-30
465;734;465;Rahul Bhatia;6,2;64;2024-03-30
466;404;466;Maria Asuncion Aramburuzabala;6,2;60;2024-03-30
467;425;467;Joe Lewis;6,2;87;2024-03-30
468;479;468;Patrizio Bertelli;6,2;78;2024-03-30
469;485;469;Miuccia Prada;6,2;74;2024-03-30
470;556;470;Kelcy Warren;6,2;68;2024-03-30
471;617;471;Rafael Del Pino;6,2;65;2024-03-30
472;528;472;Dona Bertarelli;6,2;56;2024-03-30
473;445;473;Daniel Ziff;6,2;52;2024-03-30
474;446;474;Dirk Ziff;6,2;59;2024-03-30
475;447;475;Robert Ziff;6,2;57;2024-03-30
476;392;476;Stanley Druckenmiller;6,2;70;2024-03-30
477;437;477;Patrick Soon-Shiong;6,2;71;2024-03-30
478;842;478;Cho Jung-ho;6,1;65;2024-03-30
479;341;479;Philippe Laffont;6,1;56;2024-03-30
480;541;480;Chip Wilson;6,1;67;2024-03-30
481;317;481;Takahisa Takahara;6,1;62;2024-03-30
482;474;482;Paul Singer;6,1;79;2024-03-30
483;698;483;Rakesh Mittal;6,1;68;2024-03-30
484;697;484;Rajan Mittal;6,1;64;2024-03-30
485;572;485;Gayle Benson;6,1;77;2024-03-30
486;551;486;Rudolf Maag;6,1;78;2024-03-30
487;454;487;Karen Pritzker;6,1;66;2024-03-30
488;406;488;Frits Goldschmeding;6,1;90;2024-03-30
