Business,2021_total,2022_total,2023_total
"educational services",1.30,NULL,NULL
,1.30,NULL,NULL
"parcel lockers",1.30,NULL,NULL
"air cooler",1.30,NULL,NULL
fishing,1.30,NULL,NULL
"home & office products",1.30,NULL,NULL
"cobalt mining",1.30,NULL,NULL
"dating app",1.30,NULL,NULL
"IT Service",1.30,NULL,NULL
"Daqo Group",1.30,NULL,NULL
"transportation equipment",1.30,NULL,NULL
"Price comparison website",1.20,1.40,1.90
"Golden State Warriors",1.20,1.50,1.80
"Energy drink",1.20,1.00,1.70
"Fiber optic cables",1.20,1.30,1.40
"Cirque du Soleil",1.20,1.20,1.20
"Air compressors",1.20,1.10,1.10
"mobile gaming",1.20,1.90,NULL
"paper and pulp",1.20,1.20,NULL
"payments technology",1.20,1.00,NULL
"food products",1.20,NULL,NULL
"used car sales",1.20,NULL,NULL
"Chow Tai Fook",1.20,NULL,NULL
"ride-hailing service",1.20,NULL,NULL
"online car sales",1.20,NULL,NULL
"down jackets",1.20,NULL,NULL
"telecom equipment",1.20,NULL,NULL
navigation,1.20,NULL,NULL
"Liquefied natural gas",1.10,1.10,2.60
Solar,1.10,NULL,1.50
"Industrial machinery",1.10,1.10,1.40
"Industrial equipment",1.10,1.30,2.60
"Finance services",1.10,1.20,1.30
Reebok,1.10,1.10,1.10
Mattresses,1.10,1.80,1.10
"Electrical appliances",1.10,NULL,1.00
"real estate developer",1.10,1.70,NULL
"magnetic switches",1.10,1.10,NULL
"Nordstrom department stores",1.10,NULL,NULL
Nordstorm,1.10,NULL,NULL
guns,1.10,NULL,NULL
genetics,1.10,NULL,NULL
"infant formula,",1.10,NULL,NULL
"canned food",1.10,NULL,NULL
"Factory automation equipment,",1.10,NULL,NULL
"investor relations consulting",1.10,NULL,NULL
"consumer technology",1.10,NULL,NULL
"wastewater treatment",1.10,NULL,NULL
appearl,1.10,NULL,NULL
"Toll roads",1.00,1.20,1.50
Shapewear,1.00,1.80,1.20
Fisheries,1.00,NULL,1.20
Tiles,1.00,NULL,1.00
"defense contractor",1.00,1.20,1.30
"packaged meats",1.00,1.10,NULL
"high speed trading",1.00,1.00,NULL
"flavors and fragrances",1.00,1.00,NULL
kombucha,1.00,NULL,NULL
"wind power",1.00,NULL,NULL
bakeries,1.00,NULL,NULL
"teeth aligners",1.00,NULL,NULL
"artificial turf",1.00,NULL,NULL
"optical devices",1.00,NULL,NULL
Citigroup,1.00,NULL,NULL
Fiberglass,1.00,NULL,NULL
"gold mining",1.00,NULL,NULL
"Warehouse automation",NULL,NULL,9.60
"Real estate management",NULL,NULL,5.20
Subway,NULL,NULL,4.00
"Packaging materials",NULL,NULL,7.60
"Electric bikes",NULL,1.60,3.60
"Microchip testing",NULL,3.20,3.50
Eyeglases,NULL,NULL,3.50
Skincare,NULL,NULL,3.50
"Johnson and Johnson",NULL,NULL,3.40
"Quartz products",NULL,1.60,3.30
"Digital advertising",NULL,3.40,3.10
"Readymade garments",NULL,2.50,3.10
"Technology services",NULL,NULL,2.70
"Construction Vehicles",NULL,NULL,5.20
WeWork,NULL,1.40,2.20
"Animal health",NULL,4.00,4.20
Space,NULL,NULL,2.10
"Power supply equipment",NULL,1.10,2.10
"Fast fashion",NULL,1.30,2.10
"Low-cost airlines",NULL,2.40,2.00
"Defense Contracting",NULL,NULL,2.00
"Data centers",NULL,4.90,3.10
"Las Vegas Raiders",NULL,NULL,1.90
Photovoltaics,NULL,1.40,1.90
Blockchain,NULL,4.80,3.60
"Industrial explosives",NULL,1.30,3.00
"Dairy ",NULL,1.60,1.80
"Tennessee Titans",NULL,NULL,1.70
"Real estate finance",NULL,2.00,1.70
"Iron ore mining",NULL,2.20,1.70
"Virtual reality",NULL,NULL,1.70
Homebuilder,NULL,1.60,1.70
Bars,NULL,1.40,1.70
"Executive search",NULL,1.30,1.60
"Fitness equipment",NULL,1.60,1.60
"Gambling products",NULL,2.80,3.10
Electrodes,NULL,2.60,1.50
Phamaceuticals,NULL,1.30,1.50
"Stainless steel products",NULL,1.10,1.50
"Sports drink",NULL,1.50,1.50
"Healthcare IT",NULL,2.40,1.50
Nickel,NULL,NULL,1.40
"Power tools",NULL,NULL,1.30
"Cell phone distribution",NULL,NULL,1.30
Payments,NULL,1.20,1.30
Genentech,NULL,1.40,1.30
"Online recruitment",NULL,1.30,1.30
"Semiconductor materials",NULL,1.30,1.30
"Specialty chemicals",NULL,2.60,2.30
Sneakers,NULL,1.40,1.20
"Fitness clothing",NULL,NULL,1.20
"Steel tubes",NULL,NULL,1.20
