"person","id","gender","country_of_residence","net_worth_in_billionusd_2024_01","net_worth_in_billionusd_2024_02","net_worth_in_billionusd_2024_03","net_worth_in_billionusd_2024_04","net_worth_in_billionusd_2024_05","net_worth_in_billionusd_2024_06","net_worth_in_billionusd_2024_07","net_worth_in_billionusd_2024_08","net_worth_in_billionusd_2024_09","net_worth_in_billionusd_2024_10","net_worth_in_billionusd_2024_11","net_worth_in_billionusd_2024_12"
"Colin Zheng Huang",2612,"male","China",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Xing Wang",2613,"male","China",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Philip Anschutz",2614,"male","USA","15.10","15.30","15.30","15.30","15.10","15.20","15.10","15.00","16.90","16.90","16.90","16.90"
"Shuirong Li",2615,"male","China",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Tom and Judy Love",2616,"male","USA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Herbert Kohler jr",2617,"male","USA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Paul Xiaoming Lee",2618,"male","China",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Robert Kraft",2619,"male","USA","11.10","11.10","11.10","11.10","11.10","11.10","11.10","11.10","11.80","11.80","11.80","11.80"
"Stewart and Lynda Resnick",2620,"male","USA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Bajaj siblings",2621,"male","India",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Safra siblings",2622,"male","Brazil",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Vicky Safra",2623,"female","Switzerland","18.40","20.70","20.30","19.70","19.40","18.80","18.90","19.80","20.00","19.40","18.50","17.30"
"Axel Oberwelland",2624,"male","Germany","1.30","1.20","1.20","1.20","1.20","1.20","1.20","1.30","1.30","1.30","1.10","1.00"
"Edward Johnson IV.",2625,"male","USA","11.60","11.90","11.80","11.60","11.90","11.90","12.50","12.60","12.60","12.60","14.70","14.20"
"John Alan and Bruce Wilson",2626,"male","Australia",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Teh Hong Piow",2627,"male","Malaysia",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Gary Wang",2628,"male","USA","0.00","0.00","0.00","0.00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Joshua Harris",2629,"male","USA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Rakesh Jhunjhunwala",2630,"male","India",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Aloys Wobben",2631,"male","Germany",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Rainer Blickle",2632,"male","Germany",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Kwee brothers",2633,"male","Singapore",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Chris Xu",2634,"male","China",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Chen Fashu",2635,"male","China",NULL,"2.70","2.70","2.90","2.80","2.60","2.50","2.70","3.10","3.00","2.90","2.90"
"You Xiaoping",2636,"male","China","5.20","5.80","6.00","6.80","6.40","6.10","6.30","6.20","7.30","6.90","6.70","6.80"
"Montri Jiaravanont",2637,"male","Thailand",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Charles B. Johnson",2638,"male","USA","5.20","5.30","5.30","4.80","4.90","4.80","4.90","4.80","4.80","4.00","5.00","4.80"
"Wei Fang",2639,"male","China",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Huang Chulong",2640,"male","China","2.10","1.30","1.30","1.30","1.30","1.30","1.30","1.30","1.30","1.30","1.30","1.30"
"Yeow Chor and Yeow Seng Lee",2641,"male","Malaysia",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Julian Robertson jr",2642,"male","USA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Robert Brockman",2643,"male","USA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Chu Mang Yee",2644,"male","China",NULL,"1.70","1.60","1.70","1.70","1.70","1.50","1.40","2.10","1.70","1.50","1.50"
"Masatoshi Ito",2645,"male","Japan",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Baoguo Zhu",2646,"male","China",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Guo Guangchang",2647,"male","China","2.50","3.10","2.70","3.20","3.00","2.80","2.70","2.70","3.50","2.50","2.30","2.50"
"Ted Lerner",2648,"male","USA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Xie Liangzhi",2649,"male","China","2.20","2.60","2.50","2.80","2.60","2.30","2.30","2.00","2.60","2.30","2.30","2.10"
"Martin and Olivier Bouygues",2650,"male","France",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Traudl Engelhorn",2651,"female","Switzerland",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Lee Yin Yee",2652,"male","China",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Weiguo Li",2653,"male","China",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Ermirio Pereira de Moraes",2654,"male","Brazil",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Maria Helena Moraes Scripilliti",2655,"female","Brazil",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Augusto and Giorgio Perfetti",2656,"male","Italy",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Guanjiang Wu",2657,"male","China",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Anil Agarwal",2658,"male","UK",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1.10","1.70","1.00",NULL,NULL
"Victor Jacobsson",2659,"male","Sweden",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Paolo and Gianfelice Mario Rocca",2660,"male","Italy",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Neil Shen",2661,"male","China","3.60","3.60","3.60","3.70","3.90",NULL,NULL,NULL,NULL,"3.90","3.70","3.60"
"Yiling Wu",2662,"male","China",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Gongshan Zhu",2663,"male","China",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"James Packer",2664,"male","USA","2.80","2.80","2.80","2.80","2.90","2.90","2.80","2.90","3.00","2.80","2.80","2.70"
"Che Jianxing",2665,"male","China","1.30","1.30","1.30","1.30","1.30","1.20",NULL,NULL,NULL,NULL,NULL,NULL
"Gustavo Denegri",2666,"male","Italy","2.60","2.80","2.80","2.90","3.00","2.80","3.10","3.20","3.30","3.10","3.10","2.90"
"Shi Yonghong",2667,"male","China","2.00","2.20","2.60","2.60","2.50","2.20","2.10","2.10","2.70","2.40","2.40","2.40"
"Song Chi-hyung",2668,"male","South Korea",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Byju Raveendran and Divya Gokulnath",2669,"male","India",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Nan Cunhui",2670,"male","China","1.20","1.40","1.30","1.40","1.40","1.20","1.30","1.20","1.60","1.60","1.50","1.50"
"Shi Yuzhu",2671,"male","China",NULL,"2.30","2.60","2.60","2.60","2.40","2.40","2.40","2.70","2.80","2.90","2.70"
"Jerry Speyer",2672,"male","USA","3.10","3.10","3.10","3.10","3.10","3.10","3.10","3.10","2.20","2.20","2.20","2.20"
"Wenzhong Zhang",2673,"male","China",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Jiangtao Du",2674,"male","China",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Yuhua Gu",2675,"male","China",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Jeffrey Lurie",2676,"male","USA","4.60","4.60","4.60","4.60","4.60","4.60","4.60","4.60","5.30","5.00","5.30","5.30"
"David Gottesman",2677,"male","USA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Jerry Ng",2678,"male","Indonesia",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Qiu Guanghe",2679,"male","China","2.70","2.80","2.80","3.10","3.00","2.90","2.70","2.60","3.10","3.00","3.10","3.20"
"An Kang",2680,"male","China","2.30","2.50","2.50","2.50","2.30","2.00","2.10","2.00","2.40","2.20","2.20","2.10"
"Dongsheng Chen",2681,"male","China",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Zhang Shilong",2682,"male","China","1.10","1.20","1.10","1.30","1.30","1.40","1.30","1.30","1.60","1.50","1.50","1.40"
"Dongchen Cai",2683,"male","China",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Ernest Garcia III",2684,"male","USA","1.10","2.10","2.50","2.40","2.90","3.80","3.90","4.40","5.30","7.50","7.90","6.20"
"Rudy Ma",2685,"male","Malaysia",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Candido Pinheiro Koren de Lima",2686,"male","Brazil","1.20","1.20","2.20","2.20","2.30","2.10","2.10","2.20","2.20","1.80","1.40","1.20"
"Sebastian Siemiatkowski",2687,"male","Sweden",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Barry Silbert",2688,"male","USA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Philippe Foriel-Destezet",2689,"male","UK",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Gaiteng Li",2690,"male","China",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Liufa Li",2691,"male","China",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Nguyen Thi Phuong Thao",2692,"male","Vietnam",NULL,NULL,NULL,"2.80","2.80","2.70","2.90","3.00","3.00","2.90","2.80","2.90"
"Heidi Horten",2693,"female","Austria",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Dawen Huang",2694,"male","China",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"John Tyson",2695,"male","USA","2.60","2.50","2.70","2.80","2.70","2.70","2.80","3.10","2.90","2.80","3.10","2.80"
"Zhigang Wu",2696,"male","China",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Zhang Lei",2697,"male","China","3.00","3.00","3.00","3.00","3.00","3.00","3.00","3.00","3.00","3.00","3.00","3.00"
"Bui Thanh Nhon",2698,"male","Vietnam",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Hamilton James",2699,"male","USA","4.10","4.20","4.20","4.00","4.10","4.10","4.40","4.50","4.70","4.90","5.20","4.90"
"Shen Hua",2700,"male","China",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Fenggang Zhao",2701,"male","China",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Hua Chen",2702,"male","China",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Allan Goldman",2703,"male","USA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Lai Jianping",2704,"male","China","1.30","1.50","1.50","1.40","1.30","1.30","1.30","1.40","1.80","1.60","1.60","1.70"
"Sun Hongbin",2705,"male","China","1.10",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1.20","1.10","1.10"
"Xu Chuanhua",2706,"male","China","1.30","1.50","1.50","1.50","1.50","1.30","1.30","1.30","1.50","1.50","1.60","1.50"
"Weiguo Zhao",2707,"male","China",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Jinxia Chen",2708,"male","China",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Hailiang Feng",2709,"male","China",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Alceu Elias Feldmann",2710,"male","Brazil","2.70","3.70","3.60","3.60","3.50","3.30","3.20","3.20","3.40","3.20","3.10","2.90"
"Xingming Zhu",2711,"male","China",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Chuchat Petaumpai and Daonapa Petampai",2712,"male","Thailand",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Enhua Mi",2713,"male","China",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Yongpei Ni",2714,"male","China",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Zhisong Chen",2715,"male","China",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Chetan Dube",2716,"male","USA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Alberto Roemmers",2717,"male","Argentina",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Houshan Bai",2718,"male","China",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Cho Young-sik",2719,"male","South Korea",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Philip and Cristina Green",2720,"male","UK",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Erik Paulsson",2721,"male","Sweden",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Mengquan Sun",2722,"male","China",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Yingming Wu",2723,"male","China",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Yingzhuo Xu",2724,"male","China",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Xiaojuan Zhang",2725,"male","China",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Alex Atallah",2726,"male","USA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Chris Britt",2727,"male","USA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Zhenggang Dou",2728,"male","China",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Devin Finzer",2729,"male","USA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Ming Tian",2730,"male","China",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Bill and Jean Adderley",2731,"male","UK",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Chen Huwen",2732,"male","China","1.30","1.40","1.40","1.40","1.40","1.20","1.20","1.10","1.40","1.20","1.30","1.20"
"Chen Huxiong",2733,"male","China","1.20","1.30","1.30","1.30","1.30","1.20","1.10","1.00","1.30","1.10","1.20","1.10"
"Fred Ehrsam",2734,"male","USA","1.80","2.60","3.20","2.60","2.80","2.80","2.80","2.40","2.40","2.40","3.50","3.10"
"Fang Xiaoliang",2735,"male","China",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"David Hains",2736,"male","Australia",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Yangyong Luo",2737,"male","China",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Xiangdong Qi",2738,"male","China",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Jianhua Ren",2739,"male","China",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Suyu Su",2740,"male","China",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Guilherme Benchimol",2741,"male","Brazil","2.00","2.10","2.20","1.90","1.80","1.70","1.60","1.70","1.70","1.70","1.40","1.30"
"Kuan Kam Hon",2742,"male","Malaysia",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Thomas Lee",2743,"male","USA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Li Xuhui",2744,"male","China","1.30","1.40","1.40","1.30","1.30","1.30","1.30","1.30","1.50","1.40","1.40","1.40"
"Wenbiao Wang",2745,"male","China",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Kanye West",2746,"male","USA","0.40","0.40","0.40","0.40",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Zhihan Xu",2747,"male","China",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Baokun Bai",2748,"male","China",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Jose Luis Cutrale",2749,"male","Brazil",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Guangming Fu",2750,"male","China",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Roberto Hernandez Ramirez",2751,"male","Mexico",NULL,NULL,"1.90","1.90","1.90","1.90","1.90","1.90","1.90","1.90","1.90","1.90"
"Kim Dae-il",2752,"male","South Korea",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Kim Hyoung-nyon",2753,"male","South Korea",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Shouliang Miao",2754,"male","China",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Gretel Packer",2755,"female","Australia","1.70","1.60","1.60","1.60","1.60","1.70","1.60","1.70","1.80","1.70","1.70","2.00"
"Qi Jinxing",2756,"male","China",NULL,"2.00","1.80","1.80","2.10","1.90","2.10","2.20","2.80","2.40","2.30","2.20"
"Changtian Wang",2757,"male","China",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Bang Jun-hyuk",2758,"male","South Korea",NULL,"1.00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Chang Byung-gyu",2759,"male","South Korea",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1.10","1.10","1.00",NULL,NULL
"Chen Gang",2760,"male","China",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Zhongru Gan",2761,"male","China",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Chengzhong Hu",2762,"male","China",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Mark and Robyn Jones",2763,"male","USA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Liu Zhongtian",2764,"male","China",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Zugen Ni",2765,"male","China",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Miranda Qu",2766,"male","China",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Zhenghua Wang",2767,"male","China",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Xuexin Zhang",2768,"male","China",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Mingtong Cai",2769,"male","China",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Dulce Pugliese de Godoy Bueno",2770,"male","Brazil","1.00","1.10",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Donald Foss",2771,"male","USA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Huh Jae-myung",2772,"male","South Korea",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Billy Joe (Red) McCombs",2773,"male","USA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Shao Qinxiang",2774,"male","China","1.70","1.90","1.60","1.70","1.70","1.70","1.70","1.70","1.80","1.70","1.70","1.70"
"Renate Sick-Glaser",2775,"female","Germany",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Weijie Sun",2776,"male","China",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Jan Van Geet",2777,"male","Czech Republic",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Patrizio Vinciarelli",2778,"male","USA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1.00","1.20","1.10"
"Mingwang Wang",2779,"male","China",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Dasheng Yi",2780,"male","China",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Kaitian Zeng",2781,"male","China",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Zhang Yubai",2782,"male","China","1.10","1.20","1.10","1.10","1.10","1.00","1.00","1.10","1.20","1.00","1.10","1.00"
"Zheng Hong",2783,"male","China",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Zhong Peifeng",2784,"male","China",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Zhaojiang Zhu",2785,"male","China",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Lutz Mario Helmig",2786,"male","Germany","2.20","3.20","3.20","3.20","3.40","3.20","3.30","3.50","3.50","3.40","3.10","3.00"
"Hu Kunhui",2787,"male","China",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"David Xueling Li",2788,"male","China",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1.00","1.00",NULL,NULL,NULL
"Lim Wee Chai",2789,"male","Malaysia","1.00",NULL,NULL,NULL,"1.10","1.10","1.10","1.10","1.20","1.20","1.20","1.30"
"Liu Aisen",2790,"male","China",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Jorge Pinheiro Koren de Lima",2791,"male","Brazil",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Ren Jinsheng",2792,"male","China",NULL,"1.10","1.10","1.10","1.20","1.10","1.10","1.20","1.30","1.40","1.40","1.40"
"Austin Russell",2793,"male","USA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Ivan Savvidis",2794,"male","Russia","1.60","1.40","1.40","1.40","1.40","1.40","1.40","1.40","1.40","1.40","1.40","1.40"
"Michael Saylor",2795,"male","USA","1.60","2.70","5.00","3.60","4.60","4.30","4.70","3.70","4.70","6.30","9.60","7.70"
"Sathien Setthasit",2796,"male","Thailand",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Niraj Shah",2797,"male","USA",NULL,NULL,"1.00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Lili Tan",2798,"female","China",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Tung Ching Bor",2799,"male","China",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Yang Tingdong",2800,"male","China","1.10","1.10","1.10","1.10","1.10",NULL,NULL,NULL,"1.10","1.00","1.00",NULL
"Keqiang Zhang",2801,"male","China",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Joachim Ante",2802,"male","Denmark",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Andres Bzurovski Bay",2803,"male","Uruguay","1.10","1.10","1.00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Xianbao Chen",2804,"male","China",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Steve Conine",2805,"male","USA",NULL,NULL,"1.00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Henrique Dubugras",2806,"female","Brazil",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Clement Fayat",2807,"male","France",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Sergio Fogel",2808,"male","Uruguay","1.10","1.10","1.00","1.00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Pedro Franceschi",2809,"male","Brazil",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Yi Gao",2810,"male","China",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Geng Jianming",2811,"male","China",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Gu Wei",2812,"male","China","1.40","1.40","1.40","1.40","1.40","1.40","1.40","1.40","1.50","1.50","1.40","1.50"
"Huang Rulun",2813,"male","China",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
